m/z	z	Intensity	Peptide #	Ion Type	Index	Charge	Elem Comp	Error
193.7600	1	0						
193.8000	1	0						
193.8400	1	0						
193.8800	1	0						
193.9200	1	0						
193.9600	1	1.00e-6						
194.0000	1	1.52e-4						
194.0400	1	3.27e-4						
194.0800	1	1.97e-4						
194.1200	1	6.60e-5						
194.1600	1	1.40e-5						
194.2000	1	0						
194.2400	1	0						
194.2800	1	0						
194.3200	1	0						
194.3600	1	0						
194.4000	1	0						
194.4400	1	0						
194.4800	1	0						
194.5200	1	0						
194.5600	1	0						
194.6000	1	0						
194.6400	1	0						
194.6800	1	0						
194.7200	1	0						
194.7600	1	0						
194.8000	1	0						
194.8400	1	0						
194.8800	1	0						
194.9200	1	0						
194.9600	1	0						
195.0000	1	0						
195.0400	1	0						
195.0800	1	0						
195.1200	1	0						
195.1600	1	0						
195.2000	1	0						
195.2400	1	0						
195.2800	1	0						
195.3200	1	0						
195.3600	1	0						
195.4000	1	0						
195.4400	1	0						
195.4800	1	0						
195.5200	1	0						
195.5600	1	0						
195.6000	1	0						
195.6400	1	0						
195.6800	1	0						
195.7200	1	0						
195.7600	1	0						
195.8000	1	0						
195.8400	1	0						
195.8800	1	0						
195.9200	1	1.10e-5						
195.9600	1	1.72e-4						
196.0000	1	3.64e-4						
196.0400	1	2.22e-4						
196.0800	1	7.60e-5						
196.1200	1	1.30e-5						
196.1600	1	0						
196.2000	1	0						
196.2400	1	0						
196.2800	1	0						
196.3200	1	0						
196.3600	1	0						
196.4000	1	0						
196.4400	1	0						
196.4800	1	0						
196.5200	1	0						
196.5600	1	0						
196.6000	1	0						
196.6400	1	0						
196.6800	1	0						
196.7200	1	0						
196.7600	1	0						
196.8000	1	0						
196.8400	1	0						
196.8800	1	0						
196.9200	1	0						
196.9600	1	0						
197.0000	1	2.50e-5						
197.0400	1	3.91e-4						
197.0800	1	5.74e-4						
197.1200	1	3.12e-4						
197.1600	1	1.05e-4						
197.2000	1	1.60e-5						
197.2400	1	0						
197.2800	1	0						
197.3200	1	0						
197.3600	1	0						
197.4000	1	0						
197.4400	1	0						
197.4800	1	0						
197.5200	1	0						
197.5600	1	0						
197.6000	1	0						
197.6400	1	0						
197.6800	1	0						
197.7200	1	0						
197.7600	1	0						
197.8000	1	0						
197.8400	1	0						
197.8800	1	4.80e-5						
197.9200	1	3.53e-4						
197.9600	1	4.42e-4						
198.0000	1	2.21e-4						
198.0400	1	6.40e-5						
198.0800	1	1.00e-5	1	y-NH3	4	2	C17 H27 N6 O5	-129
198.1200	1	0	1	y-NH3	4	2	C17 H27 N6 O5	73
198.1600	1	0	1	y-NH3	4	2	C17 H27 N6 O5	275
198.2000	1	0						
198.2400	1	0						
198.2800	1	0						
198.3200	1	0						
198.3600	1	0						
198.4000	1	0						
